,Unnamed: 0,readable,uganda-2019,uganda-2020,uganda-2021,uganda-2022,uganda-2023,all,stripped
121,121,"While handing over the site to Kisinga Construction Company Limited on Thursday, Helen Pulkol, the Deputy Resident District Commissioner in Moroto said the construction of the unit is a big relief in the fight against cataract in the region.
",0,1,0,0,0,1,hand site kisinga construction company limit thursday helen pulkol deputy resident district commissioner moroto say construction unit big relief fight cataract region
122,122,"The construction work is being funded under Project for the Restoration of Livelihoods in the Northern Region – PRELNOR initiative.
",0,1,0,0,0,1,construction work fund project restoration livelihood northern region prelnor initiative
123,123,"The Moroto district production secretary, Emmanuel Lokii also confirms the destruction of crops in Abule, Naputh and Lolung parishes in Rupa sub county.
",0,1,0,0,0,1,moroto district production secretary emmanuel lokii confirm destruction crop abule naputh lolung parish rupa sub county
124,124,"Nawangwe blames the late distribution of the gowns to the late supply by the contractor who he says demanded for advance payment, which wasn’t done in time.
",0,1,0,0,0,1,nawangwe blame late distribution gown late supply contractor say demand advance payment do time
125,125,"It is at this point that Kavuya, who had already flown his family members from Florida, USA, to Addis Ababa en route to Entebbe, decided to go for a covert approach.
",0,1,0,0,0,1,point kavuya already fly family member florida usa addis ababa en route entebbe decide go covert approach
126,126,"Prof. William Bazeyo who heads the Makerere University Research and Innovations fund that is in charge of financing the studies says that initial results of the studies will be released in the next three months and Uganda will have a pool of local evidence to inform interventions into the pandemic.
",0,1,0,0,0,1,prof william bazeyo head makerere university research innovation fund charge finance study say initial result study release next three month uganda pool local evidence inform intervention pandemic
127,127,"The electrification of industrial parks has also progressed with the commissioning of the Mukono and Iganga Industrial Parks sub-stations.
",0,1,0,0,0,1,electrification industrial park progress commissioning mukono iganga industrial park sub station
128,128,"That is how Uganda has developed so much and has become an island of stability.
",0,1,0,0,0,1,uganda develop much become island stability
129,129,"The good news is this trend is taking off is Uganda too.
",0,1,0,0,0,1,good news trend take uganda
130,130,"He says they are already in talks with the district local government on possibilities of opening up the access roads linking remote Odom village in Adilang sub county to Orom sub county in neighboring Kitgum.
",0,1,0,0,0,1,say already talk district local government possibility open access road link remote odom village adilang sub county orom sub county neighboring kitgum
131,131,"After serving as Uganda’s military attaché in Addis Ababa, Ethiopia, he was recalled and retired from the army in 2014.
",0,1,0,0,0,1,serve uganda military attach addis ababa ethiopia recall retire army
132,132,"I remember him once calling me and saying Amos, I will be going to China for a World Customs meeting to do a presentation and I want that meeting to happen in Uganda next time, and it will be first on the African continent.
",0,1,0,0,0,1,remember call say amos go china world custom meeting presentation want meet happen uganda next time first african continent
133,133,"In a related development, Kyadondo East MP Robert Kyagulanyi aka Bobi Wine donated Shs 13.5m to help the Kasese floods victims.
",0,1,0,0,0,1,related development kyadondo east mp robert kyagulanyi aka bobi wine donate shs help kasese flood victim
134,134,"On top of assenting to the bill last Friday, Museveni also had a meeting with representatives from Tanzania led by the managing director of Kagera Sugar Limited, Seif Ally Seif in which they agreed to export Uganda’s surplus sugar.
",0,1,0,0,0,1,top assent bill last friday museveni meeting representative tanzania lead manage director kagera sugar limit seif ally seif agree export uganda surplus sugar
135,135,"Nyanzi adds that the murals themselves attract attention as they touch the heart to explore human emotions of love, longing and celebration and concern which make it difficult for anyone to pass by without noticing it thus fulfilling its purpose.
",0,1,0,0,0,1,nyanzi add mural attract attention touch heart explore human emotion love longing celebration concern make difficult anyone pass without notice thus fulfil purpose
136,136,"In Mukono here, all politicians and members of the party structures went to NUP.
",0,1,0,0,0,1,mukono politician member party structure go nup
137,137,"President Yoweri Museveni Uganda has announced four new coronavirus cases.
",0,1,0,0,0,1,president yoweri museveni uganda announce four new coronavirus case
