,tokens
168,"['speak', 'issue', 'security', 'president', 'say', 'government', 'defeat', 'kony', 'rebel', 'north', 'rustler', 'karamoja', 'adf', 'dr', 'congo']"
169,"['napak', 'district', 'woman', 'mp', 'faith', 'nakut', 'ask', 'speaker', 'ensure', 'committee', 'charge', 'inquiry', 'iron', 'sheet', 'saga', 'facilitate', 'travel', 'karamoja']"
170,"['many', 'remember', 'great', 'leader', 'enlighten', 'karamoja']"
171,"['crowd', 'early', 'demand', 'know', 'bobi', 'wine', 'come', 'thank', 'concert', 'poster', 'month', 'long', 'radio', 'advert', 'assure', 'karamoja', 'would', 'present', 'understand', 'mc', 'explain']"
172,"['build', 'house', 'widow', 'mother', 'build', 'school', 'karamoja']"
173,"['child', 'big', 'trouble', 'causer', 'one', 'use', 'cattle', 'raid', 'give', 'skill', 'education', 'change', 'karamoja']"
174,"['say', 'donor', 'invest', 'emergency', 'response', 'long', 'term', 'solution', 'resolve', 'hunger', 'malnutrition', 'crisis', 'karamoja']"
175,"['say', 'proliferation', 'gun', 'karamoja', 'bring', 'turkana', 'pastoralist', 'hurt', 'security', 'force', 'lot', 'recovery', 'do', 'gun', 'keep', 'come']"
176,"['stress', 'need', 'government', 'mobilise', 'investment', 'industrialisation', 'karamoja', 'say', 'area', 'rich', 'natural', 'resource', 'limestone', 'million', 'tonne', 'cement', 'marble', 'production', 'fruit', 'processing', 'leather', 'tanning', 'meat', 'processing', 'honey', 'production', 'gold', 'mining', 'tourism']"
177,"['government', 'welcome', 'pound', 'uk', 'investment', 'karamoja', 'nutrition', 'project']"
178,"['people', 'karamoja', 'vote', 'nrm', 'government', 'year', 'fortune', 'change', 'muguzi', 'say']"
179,"['region', 'karamoja', 'still', 'stands', 'challenge', 'education', 'food', 'water', 'energy', 'deprivation', 'health', 'early', 'childhood', 'pregnancy', 'report', 'insecurity']"
180,"['address', 'come', 'time', 'people', 'karamoja', 'sub', 'region', 'struggle', 'food', 'insecurity', 'see', 'people', 'starve', 'death']"
181,"['well', 'people', 'karamoja', 'black', 'one', 'silicon', 'valley', 'white']"
182,"['dpp', 'jane', 'france', 'abodo', 'daughter', 'karamoja', 'last', 'week', 'close', 'case', 'file', 'minister', 'top', 'official', 'implicate', 'iron', 'sheet', 'scandal', 'due', 'lack', 'sufficient', 'evidence']"
183,"['accord', 'statistic', 'unfpa', 'karamoja', 'classify', 'one', 'world', 'poor', 'area', 'high', 'rate', 'malnutrition', 'disproportionate', 'number', 'million', 'people', 'live', 'absolute', 'poverty']"
184,"['know', 'iron', 'sheet', 'karamoja']"
185,"['karamoja', 'focal', 'point', 'drought', 'associate', 'problem', 'stephen', 'magezi', 'say', 'culture', 'aid', 'dependency', 'grow', 'region']"
186,"['recent', 'week', 'member', 'parliament', 'northern', 'eastern', 'region', 'call', 'fresh', 'disarmament', 'process', 'karamoja', 'order', 'reduce', 'number', 'gun', 'civilian', 'hand']"
187,"['last', 'year', 'another', 'survey', 'dub', 'situational', 'analysis', 'teso', 'karamoja', 'uncover', 'administrative', 'gap', 'affect', 'welfare', 'muslim', 'community']"
188,"['embassy', 'ireland', 'give', 'donation', 'partnership', 'doctor', 'africa', 'medici', 'con', 'l', 'africa', 'cuamm', 'support', 'well', 'access', 'medical', 'service', 'karamoja']"
189,"['however', 'minister', 'hark', 'back', 'karamoja', 'programme', 'work']"
190,"['richard', 'oyel', 'explore', 'beautiful', 'side', 'karamoja', 'story']"
191,"['case', 'pertain', 'alleged', 'diversion', 'iron', 'sheet', 'originally', 'intend', 'vulnerable', 'individual', 'karamoja', 'region']"
192,"['big', 'number', 'ugandan', 'household', 'food', 'insecure', 'find', 'karamoja', 'budaka', 'busoga', 'region']"
193,"['prime', 'minister', 'underscore', 'vital', 'relationship', 'security', 'socio', 'economic', 'development', 'note', 'challenge', 'karamoja', 'face', 'due', 'internal', 'external', 'security', 'threat']"
194,"['cattle', 'theft', 'within', 'karamoja', 'iteso', 'especially', 'border', 'accuse', 'karimojong', 'steal', 'cattle']"
195,"['use', 'force', 'karamoja', 'never', 'achieve', 'want', 'apply', 'peace', 'dialogue', 'say']"
196,"['first', 'day', 'primary', 'leaving', 'examination', 'ple', 'characterize', 'late', 'delivery', 'exam', 'material', 'especially', 'ntoroko', 'district', 'karamoja', 'sub', 'region', 'attribute', 'flood', 'render', 'road', 'impassable']"
197,"['observer', 'say', 'nrm', 'government', 'attempt', 'go', 'little', 'previous', 'government', 'deliberately', 'seek', 'address', 'karamoja', 'problem', 'mainstreame', 'karamoja', 'national', 'fabric']"
198,"['strong', 'astu', 'team', 'deploy', 'different', 'district', 'karamoja', 'well', 'part', 'sebei', 'sub', 'region']"
199,"['add', 'karamoja', 'vast', 'underutilize', 'land', 'unexploited', 'resource', 'harness', 'help', 'lower', 'sub', 'region', 'poverty', 'level']"
200,"['karamoja', 'incumbent', 'simon', 'peter', 'aleper', 'retain', 'seat', 'defeat', 'challenger', 'lokor', 'jimmy']"
201,"['president', 'meet', 'district', 'leader', 'commander', 'karamoja', 'understand', 'whole', 'issue', 'resurgence', 'insecurity', 'karamoja']"
202,"['meanwhile', 'kyamugambi', 'say', 'ugandans', 'must', 'desist', 'compare', 'cost', 'railway', 'line', 'kenya', 'ethiopia']"
203,"['whether', 'vegetable', 'tea', 'coffee', 'oil', 'gemstone', 'policy', 'action', 'government', 'next', 'year', 'ensure', 'much', 'value', 'many', 'job', 'possible', 'create', 'retain', 'kenya']"
204,"['kenya', 'become', 'first', 'country', 'globally', 'approve', 'national', 'performance', 'trial', 'genetically', 'modify', 'gm', 'cassava']"
205,"['kenya', 'incoming', 'president', 'face', 'murder', 'deportation', 'persecution', 'charge', 'international', 'criminal', 'court', 'role', 'postelection', 'violence', 'kill', 'people']"
206,"['kenya', 'second', 'good', 'performer', 'region', 'rank', 'position', 'compare', 'last', 'year']"
207,"['since', 'kenya', 'make', 'tremendous', 'economic', 'educational', 'social', 'democratic', 'progress']"
208,"['august', 'dr', 'besigye', 'bobi', 'wine', 'kenya', 'election', 'observer', 'hotly', 'contest', 'election', 'kenya', 'fourth', 'president', 'william', 'ruto']"
209,"['say', 'otunnu', 'camp', 'go', 'school', 'kenya', 'dig', 'information']"
210,"['one', 'three', 'mp', 'parliament', 'uganda', 'together', 'counterpart', 'kenya', 'tanzania', 'sign', 'east', 'african', 'community', 'protocol', 'establish', 'community', 'dar', 'es', 'salaam']"
211,"['however', 'kenya', 'witness', 'decline', 'coffee', 'export', 'earning', 'total', 'kshs', 'billion', 'approximately', 'million', 'first', 'six', 'month', 'compare', 'kshssh', 'billion', 'approximately', 'million', 'period', 'last', 'year']"
212,"['solar', 'power', 'fence', 'jointly', 'finance', 'ministry', 'tourism', 'space', 'giant', 'kenya', 'base', 'charity', 'work', 'local', 'community', 'prevent', 'human', 'wildlife', 'conflict']"
213,"['kenya', 'fine', 'shs', 'swiss', 'franc', 'late', 'arrival', 'team', 'cape', 'verde', 'result', 'late', 'kick', 'world', 'cup', 'qualifier', 'november']"
214,"['least', 'bird', 'specie', 'african', 'skimmer', 'african', 'fish', 'eagle', 'african', 'jacana', 'saddle', 'bill', 'stork', 'martial', 'eagle', 'shoebill', 'heron', 'kingfisher', 'egret', 'pelican', 'cormorant', 'garl', 'lark', 'flamingo', 'migrate', 'park', 'lake', 'nakuru', 'lake', 'naivasha', 'kenya', 'queen', 'elizabeth', 'national', 'park', 'big', 'bird', 'africa', 'perfect', 'destination', 'bird', 'safaris']"
215,"['shall', 'benefit', 'tourist', 'currently', 'get', 'kenya', 'ensure', 'get', 'profit', 'sell', 'expensively']"
216,"['pass', 'rate', 'kenya', 'level', 'tanzania']"
217,"['speak', 'journalist', 'parliament', 'friday', 'mwenge', 'north', 'mp', 'lawrence', 'akugizibwe', 'say', 'government', 'fail', 'come', 'scheme', 'guarantee', 'loan', 'farmer', 'factory', 'like', 'case', 'kenya']"
218,"['another', 'swarm', 'come', 'turkana', 'county', 'loima', 'district', 'kenya', 'nakabaat', 'rupa', 'sub', 'county']"
219,"['kenya', 'need', 'work', 'overtime', 'set', 'power', 'generation', 'agenda', 'identify', 'real', 'versus', 'perceive', 'need']"
220,"['minister', 'hail', 'kenya', 'take', 'lead', 'sgr']"
221,"['include', 'detailed', 'energy', 'profile', 'country', 'represent', 'three', 'quarter', 'region', 'gross', 'domestic', 'product', 'energy', 'demand', 'include', 'nigeria', 'south', 'africa', 'ethiopia', 'kenya', 'ghana']"
222,"['april', 'instance', 'kenya', 'laikipia', 'county', 'pastoralist', 'armed', 'automatic', 'rifle', 'raid', 'farm', 'wildlife', 'reserve', 'conservancy', 'drive', 'away', 'head', 'cattle']"
223,"['ibrahim', 'njenga', 'kenyan', 'fence', 'technician', 'oversee', 'work', 'fix', 'fence', 'botswana', 'gabon', 'kenya', 'say', 'work']"
224,"['other', 'include', 'yemen', 'djibouti', 'eritrea', 'ethiopia', 'somalia', 'south', 'sudan', 'sudan', 'tanzania', 'kenya']"
225,"['accord', 'popular', 'narrative', 'kenya', 'suffer', 'twin', 'evil', 'electricity', 'overly', 'expensive', 'short', 'supply']"
226,"['however', 'official', 'hospital', 'reveal', 'average', 'hospital', 'use', 'cubic', 'meter', 'cylinder', 'supply', 'british', 'oxygen', 'company', 'boc', 'kenya', 'five', 'cylinder', 'per', 'ward', 'per', 'day']"
227,"['economic', 'success', 'story', 'recent', 'year', 'follow', 'different', 'path', 'far', 'government', 'involvement', 'ethiopia', 'market', 'drive', 'model', 'ghana', 'kenya']"
228,"['nevertheless', 'two', 'large', 'shipment', 'chinese', 'weapon', 'juba', 'via', 'mombasa', 'kenya', 'legal', 'due', 'lack', 'arm', 'embargo', 'ensure', 'spla', 'well', 'supply', 'ongoing', 'civil', 'war', 'shipment', 'include', 'million', 'round', 'small', 'calibre', 'ammunition', 'well', 'rocket', 'grenade', 'missile', 'pistol', 'assault', 'rifle', 'machine', 'gun']"
229,"['great', 'lake', 'region', 'kenya', 'tanzania', 'set', 'practice', 'leader', 'must', 'change', 'every', 'five', 'ten', 'year', 'change', 'democratically', 'election']"
230,"['tanzania', 'recently', 'discover', 'huge', 'gas', 'deposit', 'kenya', 'top', 'oil', 'make', 'huge', 'technological', 'infrastructural', 'investment', 'open', 'international', 'investor']"
231,"['trade', 'dispute', 'tanzania', 'kenya', 'big', 'economy', 'region', 'spill', 'livestock', 'tourism', 'sector']"
232,"['contestant', 'kenya', 'catriona', 'gray', 'philippine', 'final', 'five']"
233,"['researcher', 'national', 'agricultural', 'research', 'organisation', 'say', 'pest', 'suspect', 'come', 'kenya', 'could', 'enter', 'farm', 'although', 'could', 'confirm', 'far', 'reach']"
234,"['kidepo', 'national', 'park', 'share', 'border', 'kenya', 'south', 'sudan']"
235,"['kenya', 'regard', 'least', 'develop', 'country', 'would', 'battle', 'increase', 'tariff', 'product', 'destine', 'europe']"
236,"['kenya', 'industrial', 'consumer', 'demand', 'economic', 'growth', 'relative', 'poverty', 'well', 'current', 'grid', 'distribution', 'network', 'simply', 'support', 'magnitude', 'power', 'generation', 'exorbitant', 'cost']"
237,"['despite', 'kenya', 'tanzania', 'big', 'economy', 'region', 'minimum', 'wage', 'policy']"
238,"['kenya', 'man', 'side', 'egypt', 'woman', 'concern', 'follow', 'triumph', 'six', 'day', 'tournament', 'mtn', 'arena']"
239,"['raphael', 'omondi', 'education', 'outreach', 'liaison', 'officer', 'wap', 'say', 'kenya', 'steal', 'donkey', 'daily', 'skin']"
240,"['kenya', 'cost', 'per', 'kilometer', 'mombasa', 'nairobi', 'leg']"
241,"['turn', 'community', 'northern', 'kenya', 'right', 'along', 'pastoralist', 'livestock', 'husbandry', 'practice', 'well', 'adapt', 'dryland', 'condition', 'pastoralism', 'viable', 'land', 'use', 'option', 'make', 'sustainable', 'use', 'dispersed', 'resource']"
242,"['hope', 'harvest', 'could', 'export', 'neighbouring', 'tanzania', 'kenya', 'well', 'pay']"
243,"['nairobi', 'kenya', 'afp', 'despite', 'long', 'standing', 'restriction', 'new', 'weapon', 'continue', 'reach', 'south', 'sudan', 'battlefield', 'often', 'via', 'neighbouring', 'country', 'detailed', 'report', 'arm', 'monitoring', 'group', 'say', 'thursday']"
244,"['election', 'violence', 'kenya', 'government', 'inject', 'million', 'image', 'promotion', 'reassure', 'world', 'one', 'incident']"
245,"['however', 'kenya', 'robust', 'tourism', 'sector', 'region', 'besides', 'tanzania', 'record', 'we', 'bn', 'earning', 'compare', 'we', 'million', 'previous', 'year', 'result', 'growth', 'international', 'tourist', 'arrival', 'million']"
246,"['frank', 'kenya', 'deputy', 'president', 'william', 'ruto', 'dr', 'yonas', 'tegega', 'woldemariam', 'world', 'health', 'organisation', 'country', 'representative', 'adviser', 'food', 'drug', 'administration', 'fda', 'health', 'minister', 'dr', 'jane', 'ruth', 'aceng', 'dr', 'monica', 'musenero', 'minister', 'science', 'technology', 'innovation', 'president', 'warn', 'government', 'official', 'sabotage', 'mr', 'magoola']"
247,"['world', 'cross', 'country', 'championship', 'attract', 'athlete', 'australia', 'ethiopia', 'kenya', 'burundi', 'canada', 'brazil', 'egypt', 'eritrea', 'spain', 'new', 'zealand', 'china', 'among', 'other']"
248,"['decade', 'later', 'little', 'progress', 'make', 'pastoral', 'community', 'northern', 'kenya', 'continue', 'grapple', 'water', 'scarcity', 'problem']"
249,"['split', 'time', 'berkeley', 'california', 'nairobi', 'kenya']"
250,"['kenya', 'jomo', 'kenyatta', 'found', 'father', 'kenya', 'groom', 'son', 'uhuru', 'kenyatta', 'pass', 'away']"
251,"['onesmus', 'kipchumba', 'murkoman', 'one', 'support', 'effort', 'aim', 'improve', 'infrastructure', 'kenya', 'country']"
252,"['kenya', 'atul', 'shah', 'nakumatt', 'manage', 'director', 'say', 'branch', 'cull', 'strategy', 'start', 'sub', 'optimally', 'perform', 'branch', 'whose', 'lease', 'contract', 'due', 'renewal', 'follow', 'branch', 'poor', 'location']"
253,"['say', 'turkana', 'county', 'northern', 'kenya', 'sorghum', 'crop', 'around', 'percent', 'damage', 'yield', 'link', 'pest', 'report']"
254,"['date', 'kenya', 'reportedly', 'memorandum', 'understanding', 'russia', 'china', 'south', 'korea', 'slovakia', 'involve', 'building', 'four', 'nuclear', 'power', 'plant', 'total', 'output', 'mw']"
255,"['contributor', 'djibouti', 'ethiopia', 'kenya']"
256,"['estimate', 'point', 'lightweight', 'polythene', 'shopping', 'bag', 'use', 'country', 'import', 'kenya']"
257,"['wake', 'yet', 'another', 'tragic', 'terrorist', 'attack', 'neighbouring', 'kenya', 'ugandans', 'need', 'take', 'serious', 'stock', 'security', 'precaution']"
258,"['loss', 'visitor', 'come', 'sharp', 'fall', 'aeroplane', 'flight', 'disrupt', 'export', 'kenya', 'high', 'value', 'fruit', 'vegetable']"
259,"['nairobi', 'time', 'blinken', 'meet', 'kenyan', 'president', 'uhuru', 'kenyatta', 'cabinet', 'secretary', 'foreign', 'affair', 'ambassador', 'raychelle', 'omamo', 'affirm', 'strategic', 'partnership', 'kenya']"
260,"['president', 'accompany', 'cabinet', 'secretary', 'eugene', 'wamalwa', 'devolution', 'simon', 'chelugui', 'water', 'john', 'munyes', 'mining', 'say', 'kenya', 'develop', 'amenity', 'include', 'school', 'dam', 'health', 'centre', 'side', 'common', 'border', 'accessible', 'community', 'cluster']"
261,"['three', 'year', 'ago', 'kenya', 'become', 'first', 'country', 'east', 'african', 'region', 'grow', 'genetically', 'modify', 'crop', 'approve', 'commercial', 'farming', 'bt', 'cotton', 'variety', 'cotton', 'resistant', 'devastating', 'african', 'bollworm']"
262,"['western', 'kenya', 'receive', 'moderate', 'rain', 'apart', 'low', 'part', 'lake', 'region', 'bit', 'dry', 'area', 'around', 'lake', 'victoria']"
263,"['ushered', 'development', 'educational', 'authorship', 'come', 'publish', 'firm', 'mostly', 'britain', 'base', 'nairobi', 'kenya']"
264,"['attract', 'exhibitor', 'least', 'country', 'include', 'nigeria', 'thailand', 'kenya', 'ghana', 'south', 'africa', 'sudan']"
265,"['however', 'locust', 'continue', 'lay', 'egg', 'kenya', 'somalia', 'ethiopia']"
266,"['nandutu', 'say', 'government', 'work', 'kenya', 'ensure', 'peace', 'prevail', 'karamoja', 'region']"
267,"['startime', 'push', 'local', 'programming', 'commitment', 'collaborate', 'local', 'content', 'owner', 'producer', 'across', 'continent', 'focus', 'mostly', 'kenya', 'nigeria', 'market']"
268,"['al', 'shabab', 'run', 'riot', 'northern', 'kenya', 'pose', 'security', 'risk', 'whatever', 'infrastructure', 'plan']"
269,"['kenya', 'ban', 'gm', 'crop']"
270,"['stress', 'kenya', 'vulnerability', 'water', 'insecurity', 'cause', 'erratic', 'rainfall', 'pattern', 'influence', 'climate', 'change', 'kenyan', 'official', 'forum', 'say', 'research', 'investment', 'need', 'identify', 'understand', 'groundwater', 'aquifer', 'improve', 'capacity', 'monitoring', 'assessment']"
271,"['spotlight', 'kenya', 'labour', 'right', 'violation', 'u', 'likely', 'sweep', 'carpet']"
272,"['search', 'cure', 'vaccine', 'coronavirus', 'intensify', 'around', 'globe', 'include', 'kenya', 'medical', 'researcher', 'race', 'find', 'elusive', 'remedy']"
273,"['explain', 'karamojong', 'sleep', 'night', 'fail', 'herd', 'cattle', 'cattle', 'rustle', 'warrior', 'neighboring', 'kenya', 'include', 'pokot', 'toposa', 'raider', 'somalia', 'south', 'sudan']"
274,"['note', 'kenya', 'maximum', 'power', 'demand', 'would', 'grow', 'mw', 'current', 'mw', 'project', 'standard', 'gauge', 'railway', 'start', 'operate', 'fully']"
275,"['include', 'ivory', 'coast', 'kenya', 'cameroon', 'dr', 'congo', 'cape', 'verde', 'djibouti', 'egypt', 'ghana', 'lesotho', 'morocco', 'mauritania', 'sudan', 'senegal', 'south', 'sudan', 'tom', 'principe', 'swaziland', 'zambia']"
276,"['period', 'kenya', 'export', 'u', 'item', 'worth', 'we', 'million', 'ethiopia', 'we', 'million', 'chad', 'we', 'south', 'africa', 'we', 'million']"
277,"['armed', 'hand', 'draw', 'map', 'route', 'take', 'get', 'hotel', 'courtesy', 'sister', 'got', 'marry', 'kenya', 'head', 'city', 'got', 'lose', 'anyway', 'second', 'time', 'visit', 'matatu', 'drop', 'spot', 'map']"
278,"['nairobi', 'kenya', 'afp', 'african', 'union', 'ask', 'burundi', 'reduce', 'contribution', 'african', 'peacekeeping', 'force', 'somalia', 'thousand', 'man', 'progressive', 'pullout', 'country', 'au']"
279,"['kenya', 'tanzania', 'already', 'refinery', 'cheap', 'source', 'oil', 'sudan', 'plan', 'refinery']"
280,"['compare', 'industrialise', 'nation', 'kenya', 'unable', 'produce', 'large', 'quantity', 'industrial', 'timber', 'due', 'lack', 'supply', 'age', 'sawmill']"
281,"['kenya', 'dominate', 'competition', 'overall', 'team', 'event', 'three', 'gold', 'medal', 'four', 'silver', 'medal', 'two', 'bronze', 'medal', 'bag', 'point']"
282,"['example', 'magic', 'river', 'adapt', 'kenya', 'kina', 'angola', 'rio']"
283,"['snag', 'traverse', 'generation', 'show', 'different', 'form', 'across', 'east', 'africa', 'haunt', 'rail', 'line', 'rift', 'valley', 'railway', 'saga', 'kenya', 'signing', 'contract', 'china', 'build', 'madaraka', 'express', 'standard', 'gauge', 'railway', 'sgr', 'questionable', 'condition', 'cry', 'incompetence', 'stain', 'management', 'ugandan', 'arm', 'rail', 'line']"
284,"['daniel', 'arap', 'moi', 'appoint', 'vice', 'president', 'kenya', 'president', 'jomo', 'kenyatta', 'serve', 'year', 'jomo', 'kenyatta', 'pass', 'away', 'old', 'age']"
285,"['top', 'kenya', 'problem', 'need', 'energy']"
286,"['rusf', 'manufacture', 'france', 'ethiopia', 'pakistan', 'kenya', 'south', 'africa']"
287,"['kenya', 'currently', 'large', 'exporter', 'hass', 'avocado', 'africa', 'whereby', 'get', 'we', 'million', 'foreign', 'exchange']"
288,"['tom', 'collins', 'side', 'congested', 'ngong', 'road', 'kenya', 'capital', 'city', 'nairobi', 'informal', 'carpenter', 'know', 'fundi', 'spend', 'day', 'make', 'bed', 'table', 'chair', 'ever', 'expand', 'housing', 'market']"
289,"['francis', 'adome', 'member', 'parliament', 'moroto', 'municipality', 'say', 'factory', 'strategic', 'location', 'attract', 'market', 'neighboring', 'country', 'kenya', 'south', 'sudan']"
290,"['hospital', 'past', 'use', 'rental', 'oxygen', 'tank', 'british', 'oxygen', 'company', 'kenya', 'boc', 'cylinder', 'back']"
291,"['last', 'week', 'african', 'union', 'summit', 'addis', 'ababa', 'resolve', 'ask', 'un', 'security', 'council', 'defer', 'case', 'president', 'uhuru', 'kenyatta', 'kenya', 'icc']"
292,"['september', 'fuel', 'price', 'kenya', 'rise', 'high', 'level', 'kenya', 'history', 'government', 'attempt', 'discontinue', 'subsidy', 'scheme', 'fuel', 'introduce', 'april']"
293,"['kenya', 'part', 'nation', 'reportedly', 'due', 'status', 'middle', 'income', 'nation']"
294,"['hane', 'say', 'salt', 'bulk', 'buyer', 'come', 'democratic', 'republic', 'congo', 'drc', 'kenya']"
295,"['include', 'presence', 'moth', 'weevil', 'poisonous', 'aflatoxin', 'reason', 'usually', 'use', 'export', 'market', 'like', 'kenya', 'restrict', 'ugandan', 'export']"
296,"['frastration', 'ingenuity', 'informally', 'trade', 'raw', 'material', 'across', 'river', 'lwakhakha', 'name', 'mean', 'border', 'lumasaaba', 'mark', 'part', 'kenya', 'uganda', 'market', 'chepkube', 'cheptais', 'chepiungu', 'kapchanga', 'develop']"
297,"['kenya', 'prepared', 'fully', 'implement', 'provision', 'common', 'market', 'protocol', 'july', 'st', 'kenyatta', 'say', 'call', 'upon', 'brother', 'community']"
298,"['three', 'victim', 'say', 'escape', 'hiding', 'neighbouring', 'kenya', 'fourth', 'girl', 'rescue', 'bleed', 'profusely', 'unbearable', 'pain']"
299,"['observer', 'say', 'museveni', 'u', 'turn', 'lot', 'personal', 'fear', 'court', 'opposition', 'politician', 'attempt', 'take', 'court', 'criticism', 'crystallise', 'around', 'icc', 'insistence', 'try', 'kenya', 'president', 'uhuru', 'kenyatta', 'deputy', 'william', 'ruto']"
300,"['inspire', 'kenya', 'fight', 'lamu', 'coal', 'project']"
301,"['come', 'time', 'kenya', 'trade', 'neighbor', 'dwindle', 'last', 'three', 'year', 'especially', 'term', 'country', 'export']"
302,"['percent', 'mp', 'female', 'regionally', 'rwanda', 'percent', 'female', 'representation', 'high']"
303,"['yet', 'even', 'caveat', 'clear', 'post', 'genocide', 'rwanda', 'build', 'equitable', 'society']"
304,"['incredible', 'even', 'country', 'much', 'rich', 'rwanda']"
305,"['one', 'rdf', 'officer', 'attend', 'meeting', 'grill', 'nyamwasa', 'spark', 'escape', 'rwanda']"
306,"['therefore', 'last', 'twenty', 'year', 'rwanda', 'succeed', 'spite', 'numerous', 'obstacle', 'would', 'normal', 'circumstance', 'relegate', 'slow', 'stagnant', 'decline', 'economic', 'growth']"
307,"['application', 'institute', 'proceeding', 'burundi', 'rwanda', 'drc', 'refer', 'basis', 'court', 'jurisdiction', 'article', 'paragraph', 'statute', 'new', 'york', 'convention', 'december', 'torture', 'cruel', 'inhuman', 'degrading', 'treatment', 'punishment', 'montreal', 'convention', 'september', 'suppression', 'unlawful', 'act', 'safety', 'civil', 'aviation', 'lastly', 'article', 'paragraph', 'rule', 'court']"
308,"['rwanda', 'government', 'feels', 'aggrieve', 'omuseso', 'complainant', 'prosecutor', 'judge']"
309,"['somalia', 'rwanda', 'abstain']"
310,"['ethiopia', 'rwanda', 'already']"
311,"['rwanda', 'change', 'constitution', 'enable', 'mr', 'paul', 'kagame', 'contest']"
312,"['treat', 'rwanda', 'ethiopia', 'botswana', 'exception']"
313,"['contrast', 'annual', 'gdp', 'per', 'capita', 'rwanda', 'currently', 'we']"
314,"['almost', 'simultaneously', 'nov', 'eastern', 'side', 'rwanda', 'burundian', 'soldier', 'hit', 'night', 'attack', 'base', 'near', 'border', 'rwanda']"
315,"['last', 'word', 'andrew', 'mwenda', 'accord', 'economist', 'united', 'kingdom', 'base', 'highly', 'opinionated', 'newsmagazine', 'president', 'paul', 'kagame', 'run', 'tight', 'autocratic', 'political', 'system', 'rwanda']"
316,"['rwanda', 'seem', 'country', 'extreme']"
317,"['go', 'imf', 'website', 'download', 'gdp', 'growth', 'figure', 'country', 'seek', 'see', 'rwanda', 'rank', 'last', 'year', 'since', 'last', 'year', 'since', 'last', 'year', 'since', 'paul', 'kagame', 'become', 'president']"
318,"['western', 'expert', 'rwanda', 'claim', 'kagame', 'preside', 'police', 'state', 'suffocate', 'individual', 'freedom', 'terrorise', 'citizen']"
319,"['pull', 'contract', 'around', 'time', 'kayumba', 'shoot', 'government', 'rwanda', 'object', 'involvement']"
320,"['trust', 'people', 'strange', 'thing', 'say', 'think', 'head', 'spy', 'really', 'long', 'time', 'rwanda', 'would', 'careful', 'cautious', 'decide', 'like', 'somebody', 'trust', 'wrong', 'say']"
321,"['east', 'africa', 'community', 'mining', 'bill', 'first', 'hearing', 'partner', 'state', 'assembly', 'kigali', 'rwanda', 'march', 'accord', 'hon']"
322,"['late', 'upsurge', 'violence', 'fardc', 'drc', 'army', 'rdf', 'rwanda', 'troop', 'currently', 'open', 'hostility']"
323,"['feb', 'police', 'rwanda', 'impound', 'carton', 'counterfeit', 'bic', 'pen', 'value', 'rwf', 'million', 'arrest', 'five', 'people', 'suspect', 'behind', 'act']"
324,"['purely', 'increase', 'production', 'distribute', 'improve', 'input', 'support', 'grow', 'coffee', 'association', 'increase', 'quality', 'educate', 'farmer', 'quality', 'strengthen', 'cooperative', 'well', 'promote', 'rwandan', 'brand', 'coffee', 'rwanda', 'move', 'commodity', 'grade', 'coffee', 'producer', 'two', 'coffee', 'washing', 'station', 'africa', 'fifth', 'large', 'coffee', 'producer']"
325,"['fight', 'recently', 'flare', 'tutsi', 'rebel', 'government', 'force', 'eastern', 'democratic', 'republic', 'congo', 'drc', 'rwanda', 'government', 'find', 'centre', 'yet', 'another', 'international', 'controversy']"
326,"['rwanda', 'record', 'rise', 'revenue', 'reach', 'million', 'drive', 'favorable', 'coffee', 'price']"
327,"['world', 'venture', 'react', 'development', 'rwanda', 'terse', 'statement', 'business', 'rwanda']"
328,"['exception', 'ethiopia', 'rwanda', 'fast', 'grow', 'africa', 'economy', 'last', 'decade', 'corrupt']"
329,"['event', 'allan', 'ddamulira', 'beneficiary', 'fish', 'smoking', 'kiln', 'say', 'innovation', 'bring', 'hope', 'time', 'fish', 'farmer', 'frustrate', 'lack', 'market', 'due', 'closure', 'rwanda', 'uganda', 'border']"
330,"['traverse', 'vast', 'jungle', 'territory', 'would', 'take', 'month', 'thus', 'allow', 'kinshasa', 'trade', 'space', 'time', 'reorganise', 'call', 'upon', 'reserve', 'mobilise', 'international', 'support']"
331,"['rwanda', 'little', 'territory', 'trade', 'time', 'mobilize', 'good', 'defense', 'like', 'israel', 'strike', 'first', 'fast', 'occupy', 'enemy', 'territory', 'create', 'artificial', 'depth']"
332,"['telesphore', 'ndabamenye', 'head', 'crop', 'production', 'rwanda', 'agriculture', 'board', 'tell', 'afp', 'harmless', 'look', 'brown', 'caterpillar', 'afflict', 'rwanda', 'district', 'say', 'outbreak', 'bad']"
333,"['rwanda', 'big', 'lesson', 'far', 'run', 'use', 'highly', 'efficient', 'effective', 'electoral', 'machinery']"
334,"['rwanda', 'support', 'kanyuka', 'insist']"
335,"['kyambadde', 'say', 'select', 'student', 'field', 'bakery', 'woodwork', 'automotive', 'mechanic', 'practical', 'nursing', 'pharmacy', 'agriculture', 'part', 'competition', 'allow', 'take', 'part', 'exhibition', 'rwanda']"
336,"['fate', 'befall', 'ethiopia', 'africa', 'fast', 'grow', 'economy', 'rwanda', 'africa', 'second', 'fast', 'grow', 'economy']"
337,"['accord', 'observer', 'hutu', 'majority', 'rwanda', 'even', 'suggest', 'high', 'per', 'cent', 'population']"
